id,reference,distorted_medium_prediction,enhanced_medium_prediction,distorted_severe_prediction,enhanced_severe_prediction,distorted_medium_wer,enhanced_medium_wer,distorted_severe_wer,enhanced_severe_wer
clean_0001,"Printing, in the only sense with which we are at present concerned, differs from most if not from all the arts and crafts represented in the Exhibition",printing in the only sense with which we are at present concerned differs from most if not from all the arts and crafts represented in the exhibition.,printing in the only sense with which we are at present concerned differs from most if not from all the arts and crafts represented in the exhibition.,and the only thing that we are expecting to find is for a month to come or the other time representative of the day.,"The three things in the only sense that we are at having to say, if a month is not from all the other things, then we have to get ready.",0.0,0.0,0.7778,0.7407
clean_0002,in being comparatively modern.,in being comparatively modern.,in being comparatively modern.,Injur1248 Widking Audio,Advance in panic and frog in bother.,0.0,0.0,1.0,1.0
clean_0003,"For although the Chinese took impressions from wood blocks engraved in relief for centuries before the woodcutters of the Netherlands, by a similar process","For although the Chinese took impressions from wood blocks in grave dim relief for centuries before the wood cutters of the Netherlands by a similar process,","For although the Chinese took impressions from wood blocks in grave dim relief for centuries before the wood cutters of the Netherlands by a similar process,","For over the counter 10 seconds per point, on which lock and braze the motor into factory, the wood cutter does the mer锋 by a similar effect.","Although it is heightening type心, it manages to focus on wood blocks and since the wood delay takes the water level Ahh, a similar sound test extremely tough",0.2083,0.2083,0.8333,1.0
clean_0004,"produced the block books, which were the immediate predecessors of the true printed book,","produced the block books, which were the immediate predecessors of the true printed book.","produced the block books, which were the immediate predecessors of the true printed book.",it's for me the black slide the intermediate cow taxis been permit for,Did he see the blockfall? It may be a meme better butJalec has evolved and moved forward.,0.0,0.0,0.9286,1.0
clean_0005,the invention of movable metal letters in the middle of the fifteenth century may justly be considered as the invention of the art of printing.,The invention of movable metal letters in the middle of the 15th century may just be considered as the invention of the art of printing.,The invention of movable metal letters in the middle of the 15th century may just be considered as the invention of the art of printing.,the Medal noodles remember that I die before this summer when I was doing the most affectedкимastological warning. I feel that the medals you feel are the only things you take at the showcase in my next video.,"And the children's goal,Islay Chairman, didn't they learn? No,don't think so. I'm sure everyone has the goal. Yes, I have. They're going to be their kids are waiting foruting, but because the System gives the Five An capture like this is going to get assuming now We're going to waste clicking on Kuwait as soon as we get through שה What happened... They're going to defend me of appreciation.",0.08,0.08,1.0,1.0
clean_0006,"And it is worth mention in passing that, as an example of fine typography,",and it is worth mentioning in passing that has an example of fine typography.,and it is worth mentioning in passing that has an example of fine typography.,"Yeah, it is worth mentioning that I can exactly assign my target to you.","and it is worth mentioning that as an example, it's kind of hard to see.",0.1429,0.1429,0.7857,0.5714
clean_0007,"the earliest book printed with movable types, the Gutenberg, or ""forty-two line Bible"" of about fourteen fifty-five,","The earliest book printed with movable types, the Guttenberg for 42 line Bible of about 1455.","The earliest book printed with movable types, the Guttenberg for 42 line Bible of about 1455.",The ordinary owner ofision is recently fired from Kegeframes B UFO for cutting the piece along 575A sometime next time.,The only effort to get this new robot height is that it works for basically line by those of about 1555,0.2941,0.2941,1.0,1.0
clean_0008,has never been surpassed.,has never been surpassed.,has never been surpassed.,It's never going to happen.,It's never good for bad.,0.0,0.0,1.0,1.0
clean_0009,"Printing, then, for our purpose, may be considered as the art of making books by means of movable types.",Printing then for our purpose may be considered as the art of making books by means of movable types.,Prinching then for our purpose may be considered as the art of making books by means of movable types.,です,clicking then process pretty devoted and the art is making more finely abused musical Pirdo,0.0,0.0526,1.0,0.7895
clean_0010,"Now, as all books not primarily intended as picture-books consist principally of types composed to form letterpress,","Now, as all books not primarily intended as picture books, consists principally of types composed to form letter press.","Now, as all books not primarily intended as picture books, consist principally of types composed to form letter press.","Now as OMIDOT. That's the point, we're going left and right.","Now, as over, not dormirly intended our היא spots, Nicolly's height confused with one level pass.",0.2941,0.2353,0.8824,0.7647
