id,reference,clean_prediction,mild_prediction,medium_prediction,severe_prediction,clean_wer,mild_wer,medium_wer,severe_wer
clean_0001,"Printing, in the only sense with which we are at present concerned, differs from most if not from all the arts and crafts represented in the Exhibition","Printing, in the only sense with which we are at present concerned, differs from most if not from all the arts and crafts represented in the exhibition.","Printing, in the only sense with which we are at present concerned, differs from most if not from all the arts and crafts represented in the exhibition.",printing in the only sense with which we are at present concerned differs from most if not from all the arts and crafts represented in the exhibition.,and the only thing that we are expecting to find is for a month to come or the other time representative of the day.,0.0,0.0,0.0,0.7778
clean_0002,in being comparatively modern.,in being comparatively modern.,in being comparatively modern.,in being comparatively modern.,I didn't know you would come so far to bring me coffee.,0.0,0.0,0.0,1.0
clean_0003,"For although the Chinese took impressions from wood blocks engraved in relief for centuries before the woodcutters of the Netherlands, by a similar process","For although the Chinese took impressions from wood blocks and graved in relief for centuries before the wood cutters of the Netherlands by a similar process,","For although the Chinese took impressions from wood blocks and graved in relief for centuries before the wood cutters of the Netherlands by a similar process,","For although the Chinese took impressions from wood blocks in grave dim relief for centuries before the wood cutters of the Netherlands by a similar process,",For over the time you took link actually from 있지 box and grazed inwards actually to show the worse patterns of the meta-اخence,0.1667,0.1667,0.2083,0.8333
clean_0004,"produced the block books, which were the immediate predecessors of the true printed book,","produced the block books, which were the immediate predecessors of the true printed book.","produced the block books, which were the immediate predecessors of the true printed book.","produced the block books, which were the immediate predecessors of the true printed book.",whether it is immediately heat increasing or more.,0.0,0.0,0.0,1.0
clean_0005,the invention of movable metal letters in the middle of the fifteenth century may justly be considered as the invention of the art of printing.,The invention of movable metal letters in the middle of the 15th century may justly be considered as the invention of the art of printing.,The invention of movable metal letters in the middle of the 15th century may justly be considered as the invention of the art of printing.,The invention of movable metal letters in the middle of the 15th century may just be considered as the invention of the art of printing.,"in turn there was no determinix or situation, Also, I understood that the other integrity of you",0.04,0.04,0.08,0.88
clean_0006,"And it is worth mention in passing that, as an example of fine typography,",And it is worth mentioning in passing that has an example of fine typography.,and it is worth mentioning in passing that as an example of fine typography,and it is worth mentioning in passing that has an example of fine typography.,"Yeah, it is worth mentioning that I can exactly assign my target to you.",0.1429,0.0714,0.1429,0.7857
clean_0007,"the earliest book printed with movable types, the Gutenberg, or ""forty-two line Bible"" of about fourteen fifty-five,","The earliest book printed with movable types, the Guttenberg or 42 line Bible of about 1455.","The earliest book printed with movable types, the Guttenberg or 42 line Bible of about 1455.","The earliest book printed with movable types, the Guttenberg for 42 line Bible of about 1455.",The Oregon Park in Victims caliber hike the guppe cohort formerly marine野大 Atru despite 15ètement by continued,0.2353,0.2353,0.2941,0.8824
clean_0008,has never been surpassed.,has never been surpassed.,has never been surpassed.,has never been surpassed.,It's never going to happen.,0.0,0.0,0.0,1.0
clean_0009,"Printing, then, for our purpose, may be considered as the art of making books by means of movable types.",Printing then for our purpose may be considered as the art of making books by means of movable types.,Printing then for our purpose may be considered as the art of making books by means of movable types.,Printing then for our purpose may be considered as the art of making books by means of movable types.,baby kidnap the new equipment,0.0,0.0,0.0,0.9474
clean_0010,"Now, as all books not primarily intended as picture-books consist principally of types composed to form letterpress,","Now, as all books, not primarily intended as picture books, consist principally of types composed to form letterpress.","Now, as all books, not primarily intended as picture books, consist principally of types composed to form letterpress,","Now, as all books not primarily intended as picture books, consists principally of types composed to form letter press.",Now as all of them not primarily intended and Englisha transmission kind of polite or presentation,0.1176,0.1176,0.2941,0.6471
